lat_suburb,long_suburb,suburb,region,state
-28.64201,153.61194,Byron Bay,Byron Shire,New South Wales
-27.08465,152.9511,Caboolture,Moreton Bay,Queensland
-27.09389,152.94874,Caboolture South,Moreton Bay,Queensland
-16.92304,145.76625,Cairns,Cairns,Queensland
-34.5505,150.71131,Calderwood,Shellharbour,New South Wales
-35.11977,139.0414,Callington,Mount Barker,South Australia
-26.80346,153.12195,Caloundra,Sunshine Coast,Queensland
-26.79854,153.11405,Caloundra West,Sunshine Coast,Queensland
-42.83333,147.45,Cambridge,Clarence,Tasmania
-31.64484,152.79462,Camden Haven,Port Macquarie-Hastings,New South Wales
-34.08312,150.69491,Camden South,Camden,New South Wales
-27.49354,153.07629,Camp Hill,Brisbane,Queensland
-37.68333,144.95,Campbellfield,Hume,Victoria
-34.06667,150.81667,Campbelltown,Campbelltown Municipality,New South Wales
-37.57606,143.87742,Canadian,Ballarat North,Victoria
-35.28346,149.12807,Canberra,Australian Capital Territory,Australian Capital Territory
-32.05799,115.91814,Canning Vale,Canning,Western Australia
-32.01667,115.95,Cannington,Canning,Western Australia
-33.56247,148.66434,Canowindra,Cabonne,New South Wales
-33.55808,115.56278,Capel,Capel,Western Australia
-33.30056,136.11906,Caralue,Kimba,South Australia
-27.50578,153.10236,Carindale,Brisbane,Queensland
-24.88073,113.6594,Carnarvon,Carnarvon,Western Australia
-37.74124,144.73631,Caroline Springs,Melton,Victoria
-33.88382,150.96153,Carramar,Fairfield,New South Wales
-31.69023,115.77159,Carramar,Wanneroo,Western Australia
-32.91501,151.76436,Carrington,Newcastle,New South Wales
-28.82272,152.10305,Carrolls Creek,Tenterfield Municipality,New South Wales
-38.09968,145.17248,Carrum Downs,Frankston,Victoria
-28.85819,153.04748,Casino,Richmond Valley,New South Wales
-33.78655,151.20925,Castle Cove,Willoughby,New South Wales
-37.06709,144.21684,Castlemaine,Mount Alexander,Victoria
-28.30042,153.57064,Casuarina,Tweed,New South Wales
-31.88333,115.96667,Caversham,Swan,Western Australia
-33.87433,150.84177,Cecil Park,Fairfield,New South Wales
-27.88923,153.02891,Cedar Vale,Logan,Queensland
-32.1266,133.67271,Ceduna,Ceduna,South Australia
-32.83211,151.35623,Cessnock,Cessnock,New South Wales
-27.74811,153.07764,Chambers Flat,Logan,Queensland
-33.22671,151.50284,Charmhaven,Wyong Shire,New South Wales
-20.07671,146.26353,Charters Towers,Charters Towers,Queensland
-33.79402,151.16492,Chatswood West,Willoughby,New South Wales
-38.03333,145.13333,Chelsea Heights,Kingston,Victoria
-27.38383,153.01586,Chermside West,Brisbane,Queensland
-31.86094,116.27243,Chidlow,Mundaring,Western Australia
-25.23708,152.27876,Childers,Bundaberg,Queensland
-26.73787,150.6297,Chinchilla,Western Downs,Queensland
-28.23333,153.55,Chinderah,Tweed,New South Wales
-37.7386,145.31431,Chirnside Park,Yarra Ranges,Victoria
-33.64594,151.28466,Church Point,Pittwater,New South Wales
-32.10261,115.84422,City of Cockburn,City of Cockburn,Western Australia
-34.98989,138.60158,Clapham,Mitcham,South Australia
-33.83325,138.61064,Clare,Clare and Gilbert Valleys,South Australia
-42.78333,147.25,Claremont,Glenorchy,Tasmania
-32.58395,151.77757,Clarence Town,Dungog,New South Wales
-31.68282,115.7247,Clarkson,Wanneroo,Western Australia
-28.05308,153.39815,Clear Island Waters,Gold Coast,Queensland
-33.7,136.5,Cleve,Cleve,South Australia
-27.52677,153.26516,Cleveland,Redland,Queensland
-38.1567,144.5551,Clifton Springs,Greater Geelong,Victoria
-20.70718,140.51303,Cloncurry,Cloncurry,Queensland
-27.25341,153.07835,Clontarf,Moreton Bay,Queensland
-31.49873,145.84183,Cobar,Cobar,New South Wales
-34.01592,150.67854,Cobbitty,Camden,New South Wales
-37.93677,145.49376,Cockatoo,Cardinia,Victoria
-30.29626,153.11351,Coffs Harbour,Coffs Harbour,New South Wales
-38.339,143.58489,Colac,Colac-Otway,Victoria
-33.36206,116.15617,Collie,Collie,Western Australia
-27.61282,152.86008,Collingwood Park,Ipswich,Queensland
-34.40095,150.48573,Colo Vale,Wingecarribee,New South Wales
-33.08805,147.14514,Condobolin,Lachlan,New South Wales
-34.45,150.88333,Coniston,Wollongong,New South Wales
-29.01415,134.75495,Coober Pedy,Coober Pedy,South Australia
-32.11934,115.7665,Coogee,City of Cockburn,Western Australia
-15.47028,145.24986,Cooktown,Cook,Queensland
-34.81641,147.19577,Coolamon,Coolamon,New South Wales
-37.65675,144.9346,Coolaroo,Hume,Victoria
-26.5283,153.08809,Coolum Beach,Sunshine Coast,Queensland
-36.23517,149.12408,Cooma,Cooma-Monaro,New South Wales
-31.27734,149.27904,Coonabarabran,Warrumbungle Shire,New South Wales
-30.95389,148.38881,Coonamble,Coonamble,New South Wales
-27.56463,153.04067,Coopers Plains,Brisbane,Queensland
-33.07622,151.45409,Cooranbong,Lake Macquarie Shire,New South Wales
-26.36316,152.98599,Cooroibah,Sunshine Coast,Queensland
-34.64095,148.02838,Cootamundra,Cootamundra,New South Wales
-28.99332,153.28212,Coraki,Lismore Municipality,New South Wales
-34.44043,150.83748,Cordeaux Heights,Wollongong,New South Wales
-32.72014,152.10846,Corlette,Port Stephens Shire,New South Wales
-35.05,138.61667,Coromandel Valley,Onkaparinga,South Australia
-35.99962,146.3858,Corowa,Corowa Shire,New South Wales
-29.82619,152.89156,Coutts Crossing,Clarence Valley,New South Wales
-38.45231,145.23865,Cowes,Bass Coast,Victoria
-33.83554,148.69663,Cowra,Cowra,New South Wales
-35,138.7,Crafers,Adelaide Hills,South Australia
-37.6,144.95,Craigieburn,Hume,Victoria
-38.11531,145.29814,Cranbourne East,Casey,Victoria
-38.13502,145.23958,Cranbourne South,Casey,Victoria
-38.0965,145.26707,Cranbourne West,Casey,Victoria
-31.1887,152.97301,Crescent Head,Kempsey,New South Wales
-38.35,145.2,Crib Point,Mornington Peninsula,Victoria
-34.46667,150.88333,Cringila,Wollongong,New South Wales
-34.45925,149.47137,Crookwell,Upper Lachlan Shire,New South Wales
-34.59432,150.84126,Croom,Shellharbour,New South Wales
-37.78333,145.3,Croydon North,Maroondah,Victoria
-33.35256,138.20955,Crystal Brook,Port Pirie City and Dists,South Australia
-35.66669,147.03845,Culcairn,Greater Hume Shire,New South Wales
-34.26396,135.726,Cummins,Lower Eyre Peninsula,South Australia
-31.65398,117.23374,Cunderdin,Cunderdin,Western Australia
-31.8941,152.52141,Cundletown,Greater Taree,New South Wales
-31.73306,115.74766,Currambine,Joondalup,Western Australia
-39.92976,143.85385,Currie,King Island,Tasmania
